club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,30,26.4,11,36.7,1,Merck-Stadion am Böllenfalltor,17500,€-1.60m,,2023,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
12,as-rom,AS Roma,IT1,,26,27.3,17,65.4,17,Olimpico di Roma,73261,+€65.20m,,2023,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham Hotspur,GB1,,29,26.1,21,72.4,22,Tottenham Hotspur Stadium,62062,€-130.40m,,2023,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,,2017,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2990,academica-coimbra,Académica Coimbra,PO1,,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,,2015,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,,28,24.3,8,28.6,1,Audi Sportpark,15800,+€1.55m,,2016,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,,2020,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,,2018,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
8024,fc-arouca,FC Arouca,PO1,,28,25.9,21,75.0,1,Estádio Municipal de Arouca,5600,+€5.24m,,2023,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024
969,montpellier-hsc,Montpellier HSC,FR1,,23,25.7,12,52.2,6,Stade de la Mosson,32939,+€31.80m,,2023,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
989,afc-bournemouth,AFC Bournemouth,GB1,,29,26.4,20,69.0,14,Vitality Stadium,11329,€-126.19m,,2023,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1025,fc-bologna,Bologna FC 1909,IT1,,26,25.2,18,69.2,13,Stadio Renato Dall’Ara,36462,€-18.50m,,2023,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1082,losc-lille,LOSC Lille,FR1,,24,26.0,17,70.8,6,Decathlon Arena-Stade Pierre-Mauroy,50186,+€6.10m,,2023,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
1465,gd-estoril-praia,GD Estoril Praia,PO1,,29,24.8,17,58.6,2,Estádio António Coimbra da Mota,8000,+€8.00m,,2023,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,,2016,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
31,fc-liverpool,Liverpool FC,GB1,,26,26.1,21,80.8,17,Anfield,54074,€-111.30m,,2023,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
336,sporting-lissabon,Sporting CP,PO1,,27,25.0,13,48.1,8,Estádio José Alvalade XXI,50095,+€69.50m,,2023,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336
3911,stade-brest-29,Stade Brestois 29,FR1,,25,26.0,7,28.0,4,Stade Francis-Le Blé,15220,+€5.10m,,2023,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,,2018,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
410,udinese-calcio,Udinese Calcio,IT1,,36,25.0,31,86.1,8,Bluenergy Stadium,25144,+€5.56m,,2023,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
595,sc-bastia,SC Bastia,FR1,,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,,2016,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1108,deportivo-alaves,Deportivo Alavés,ES1,,23,25.7,9,39.1,3,Mendizorroza,19840,€-6.30m,,2023,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1158,fc-lorient,FC Lorient,FR1,,30,25.1,14,46.7,10,Stade du Moustoir,19010,+€37.70m,,2023,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
13,atletico-madrid,Atlético de Madrid,ES1,,24,29.2,14,58.3,14,Civitas Metropolitano,67829,+€57.30m,,2023,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
131,fc-barcelona,FC Barcelona,ES1,,22,26.3,10,45.5,16,Olímpic Lluís Companys,55926,+€102.00m,,2023,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
133,sc-cambuur-leeuwarden,SC Cambuur Leeuwarden,NL1,,16,23.1,4,25.0,3,Cambuurstadion,10250,+-0,,2022,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133
18,borussia-monchengladbach,Borussia Mönchengladbach,L1,,31,25.7,17,54.8,8,Stadion im Borussia-Park,54042,€-4.28m,,2023,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
2036,1-fc-heidenheim-1846,1.FC Heidenheim 1846,L1,,28,26.2,5,17.9,1,Voith-Arena,15000,€-2.30m,,2023,https://www.transfermarkt.co.uk/1-fc-heidenheim-1846/startseite/verein/2036
273,fc-stade-rennes,Stade Rennais FC,FR1,,25,24.6,10,40.0,7,Roazhon Park,29778,+€85.60m,,2023,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
3325,gd-chaves,GD Chaves,PO1,,28,26.4,15,53.6,4,Estádio Municipal Eng.º Manuel Branco Teixeira,9000,+€450k,,2023,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325
3327,fc-penafiel,FC Penafiel,PO1,,28,27.9,4,14.3,0,Estádio Municipal 25 de Abril,5230,+-0,,2014,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327
366,real-valladolid,Real Valladolid CF,ES1,,22,27.2,11,50.0,6,Nuevo José Zorrilla,27618,+€2.50m,,2022,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
4294,sc-farense,SC Farense,PO1,,28,28.0,15,53.6,2,Estádio São Luís,7000,+-0,,2023,https://www.transfermarkt.co.uk/sc-farense/startseite/verein/4294
458,palermo-fc,Palermo FC,IT1,,28,25.6,7,25.0,4,"Comunale Renzo Barbera ""La Favorita""",36365,€-7.94m,,2016,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
46,inter-mailand,Inter Milan,IT1,,25,28.9,16,64.0,19,Giuseppe Meazza,75923,+€65.20m,,2023,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
995,fc-nantes,FC Nantes,FR1,,28,25.9,15,53.6,8,Stade de la Beaujoire,37463,€-450k,,2023,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
1003,leicester-city,Leicester City,GB1,,25,27.1,14,56.0,11,King Power Stadium,32273,+€26.00m,,2022,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
1237,brighton-amp-hove-albion,Brighton & Hove Albion,GB1,,26,26.2,19,73.1,14,AMEX Stadium,31800,+€94.70m,,2023,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
1436,sc-beira-mar,SC Beira-Mar,PO1,,26,26.6,8,30.8,0,Estádio Municipal de Aveiro,32830,+-0,,2012,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
1455,fc-dordrecht,FC Dordrecht,NL1,,29,23.3,12,41.4,1,Matchoholic Stadion,4235,+-0,,2014,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
200,fc-utrecht,FC Utrecht,NL1,,27,25.4,14,51.9,3,"Stadion ""Galgenwaard""",23750,+€8.65m,,2023,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
2969,dijon-fco,Dijon FCO,FR1,,29,25.8,14,48.3,4,Stade Gaston-Gérard,16098,+€1.50m,,2020,https://www.transfermarkt.co.uk/dijon-fco/startseite/verein/2969
2995,fc-pacos-de-ferreira,FC Paços de Ferreira,PO1,,32,25.5,17,50.0,1,Estádio Capital do Móvel,9076,+-0,,2022,https://www.transfermarkt.co.uk/fc-pacos-de-ferreira/startseite/verein/2995
3522,spezia-calcio,Spezia Calcio,IT1,,32,24.4,25,78.1,11,Alberto Picco,11676,€-3.95m,,2022,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
40,fc-girondins-bordeaux,FC Girondins Bordeaux,FR1,,26,22.7,13,50.0,6,Matmut Atlantique,42115,+€12.70m,,2021,https://www.transfermarkt.co.uk/fc-girondins-bordeaux/startseite/verein/40
4750,sc-olhanense,SC Olhanense,PO1,,10,23.4,5,50.0,0,Estádio José Arcanjo,10080,+-0,,2013,https://www.transfermarkt.co.uk/sc-olhanense/startseite/verein/4750
6195,ssc-neapel,SSC Napoli,IT1,,27,26.4,17,63.0,16,Stadio Diego Armando Maradona,54726,€-26.50m,,2023,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
82,vfl-wolfsburg,VfL Wolfsburg,L1,,29,24.7,19,65.5,12,Volkswagen Arena,28917,€-400k,,2023,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
1050,fc-villarreal,Villarreal CF,ES1,,24,29.0,8,33.3,7,La Cerámica,23500,+€97.00m,,2023,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
1147,ac-ajaccio,AC Ajaccio,FR1,,24,27.5,11,45.8,6,Stade François-Coty,10446,+-0,,2022,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
130,parma-calcio-1913,Parma Calcio 1913,IT1,,30,24.9,23,76.7,6,Ennio Tardini,22352,€-4.37m,,2020,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
1429,cesena-fc,Cesena FC,IT1,,28,26.0,4,14.3,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,,2014,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,,27,24.7,21,77.8,18,BayArena,30210,€-12.10m,,2023,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
2722,spal,SPAL,IT1,,32,26.0,8,25.0,2,Paolo Mazza,16134,+€2.75m,,2019,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
276,hellas-verona,Hellas Verona,IT1,,33,25.8,22,66.7,8,Marcantonio Bentegodi,39211,+€43.46m,,2023,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
3329,fc-famalicao,FC Famalicão,PO1,,27,23.8,19,70.4,4,Estádio Municipal de Famalicão,5305,+€10.80m,,2023,https://www.transfermarkt.co.uk/fc-famalicao/startseite/verein/3329
642,de-graafschap-doetinchem,De Graafschap Doetinchem,NL1,,30,23.7,6,20.0,0,"Stadion ""De Vijverberg""",12600,+-0,,2018,https://www.transfermarkt.co.uk/de-graafschap-doetinchem/startseite/verein/642
703,nottingham-forest,Nottingham Forest,GB1,,32,27.0,27,84.4,20,The City Ground,30445,€-57.23m,,2023,https://www.transfermarkt.co.uk/nottingham-forest/startseite/verein/703
80,vfl-bochum,VfL Bochum,L1,,30,27.6,14,46.7,3,Vonovia Ruhrstadion,26000,€-2.45m,,2023,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
976,cf-uniao-madeira,CF União Madeira (-2021),PO1,,0,,0,,0,Centro Desportivo da Madeira,2500,+-0,,2015,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
1031,luton-town,Luton Town,GB1,,26,27.8,12,46.2,8,Kenilworth Road,10226,€-22.75m,,2023,https://www.transfermarkt.co.uk/luton-town/startseite/verein/1031
1071,wigan-athletic,Wigan Athletic,GB1,,26,24.0,8,30.8,2,DW Stadium,25133,+€290k,,2012,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
1090,az-alkmaar,AZ Alkmaar,NL1,,29,23.5,10,34.5,4,AFAS Stadion,19478,+€48.17m,,2023,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090
1110,huddersfield-town,Huddersfield Town,GB1,,33,26.7,12,36.4,3,John Smith's Stadium,24500,+€11.28m,,2018,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
1159,as-nancy-lorraine,AS Nancy-Lorraine,FR1,,27,25.7,5,18.5,0,Stade Marcel-Picot,20087,+-0,,2016,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
1301,cs-maritimo,CS Marítimo,PO1,,29,27.2,19,65.5,2,Estádio do Marítimo,10600,+€200k,,2022,https://www.transfermarkt.co.uk/cs-maritimo/startseite/verein/1301
1304,heracles-almelo,Heracles Almelo,NL1,,30,24.2,14,46.7,1,Erve Asito,12080,+-0,,2023,https://www.transfermarkt.co.uk/heracles-almelo/startseite/verein/1304
1421,stade-reims,Stade Reims,FR1,,24,25.1,18,75.0,11,Stade Auguste-Delaune,21684,+€10.55m,,2023,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
1423,fc-valenciennes,Valenciennes FC,FR1,,30,23.6,15,50.0,5,Stade du Hainaut,25000,+€2.52m,,2013,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
162,as-monaco,AS Monaco,FR1,,27,24.2,27,100.0,15,Stade Louis-II,17000,€-26.50m,,2023,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
235,rkc-waalwijk,RKC Waalwijk,NL1,,27,25.6,13,48.1,3,Mandemakers Stadion,7508,+-0,,2023,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235
24,eintracht-frankfurt,Eintracht Frankfurt,L1,,36,24.5,21,58.3,9,Deutsche Bank Park,55000,+€85.85m,,2023,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
294,benfica-lissabon,SL Benfica,PO1,,25,25.7,15,60.0,11,Estádio da Luz,64642,€-49.42m,,2023,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294
331,ca-osasuna,CA Osasuna,ES1,,24,28.3,4,16.7,3,El Sadar,23576,€-6.50m,,2023,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
3336,desportivo-aves,Desportivo Aves (- 2020),PO1,,0,,0,,0,Estádio CD das Aves,5441,+-0,,2019,https://www.transfermarkt.co.uk/desportivo-aves/startseite/verein/3336
3709,fc-getafe,Getafe CF,ES1,,23,28.1,13,56.5,6,Coliseum,16800,€-5.00m,,2023,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
383,psv-eindhoven,PSV Eindhoven,NL1,,27,25.2,14,51.9,10,Philips Stadion,35000,€-3.53m,,2023,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383
499,vitesse-arnheim,Vitesse Arnhem,NL1,,27,23.7,11,40.7,5,GelreDome,21248,+€750k,,2023,https://www.transfermarkt.co.uk/vitesse-arnheim/startseite/verein/499
610,ajax-amsterdam,Ajax Amsterdam,NL1,,27,23.5,15,55.6,12,Johan Cruijff ArenA,55600,+€47.10m,,2023,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610
750,fc-sochaux-montbeliard,FC Sochaux-Montbéliard,FR1,,29,23.0,9,31.0,1,Stade Auguste-Bonal,20005,+€6.30m,,2013,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
762,newcastle-united,Newcastle United,GB1,,29,27.6,14,48.3,12,St James' Park,52338,€-108.60m,,2023,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762
1041,olympique-lyon,Olympique Lyon,FR1,,28,25.0,16,57.1,5,Groupama Stadium,59186,+€87.87m,,2023,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
1084,fc-malaga,Málaga CF,ES1,,27,27.9,8,29.6,0,La Rosaleda,30044,+€950k,,2017,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
1148,fc-brentford,Brentford FC,GB1,,29,26.0,20,69.0,16,Gtech Community Stadium,17250,€-54.76m,,2023,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
1162,sm-caen,SM Caen,FR1,,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,,2018,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
1283,fc-emmen,FC Emmen,NL1,,17,25.6,6,35.3,0,De Oude Meerdijk,8309,+-0,,2022,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
142,real-saragossa,Real Zaragoza,ES1,,23,26.0,6,26.1,1,La Romareda,33608,+€30k,,2012,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
16,borussia-dortmund,Borussia Dortmund,L1,,28,26.0,13,46.4,19,SIGNAL IDUNA PARK,81365,+€50.35m,,2023,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
202,fc-groningen,FC Groningen,NL1,,29,22.9,10,34.5,1,Euroborg,22555,€-586k,,2022,https://www.transfermarkt.co.uk/fc-groningen/startseite/verein/202
2288,swansea-city,Swansea City,GB1,,22,24.8,17,77.3,4,Swansea.com Stadium,21088,+€8.35m,,2017,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
237,rcd-mallorca,RCD Mallorca,ES1,,23,28.7,10,43.5,5,Mallorca Son Moix,20500,€-2.30m,,2023,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
2423,cd-santa-clara,CD Santa Clara,PO1,,38,25.4,20,52.6,2,Estádio de São Miguel,12500,+-0,,2022,https://www.transfermarkt.co.uk/cd-santa-clara/startseite/verein/2423
2425,rio-ave-fc,Rio Ave FC,PO1,,25,27.8,11,44.0,0,Estádio dos Arcos,5300,+-0,,2023,https://www.transfermarkt.co.uk/rio-ave-fc/startseite/verein/2425
3558,gfc-ajaccio,GFC Ajaccio,FR1,,5,26.8,1,20.0,1,Stade Ange-Casanova,4050,+-0,,2015,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
4102,carpi-fc-1909,AC Carpi,IT1,,25,23.6,6,24.0,1,Sandro Cabassi,5510,+-0,,2015,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
42,hannover-96,Hannover 96,L1,,28,25.0,6,21.4,1,Heinz-von-Heiden-Arena,49000,€-300k,,2018,https://www.transfermarkt.co.uk/hannover-96/startseite/verein/42
641,fc-middlesbrough,Middlesbrough FC,GB1,,25,26.1,8,32.0,6,Riverside Stadium,33746,+€16.68m,,2016,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
667,rc-strassburg-alsace,RC Strasbourg Alsace,FR1,,27,24.8,14,51.9,9,Stade de la Meinau,26109,€-23.00m,,2023,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
681,real-sociedad-san-sebastian,Real Sociedad,ES1,,26,25.3,7,26.9,10,Reale Arena,39313,€-10.60m,,2023,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
873,crystal-palace,Crystal Palace,GB1,,27,26.4,12,44.4,8,Selhurst Park,26047,€-38.70m,,2023,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873
1032,fc-reading,Reading FC,GB1,,30,23.1,14,46.7,5,Select Car Leasing Stadium,24161,+€3.06m,,2012,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
1039,queens-park-rangers,Queens Park Rangers,GB1,,26,25.9,15,57.7,8,Loftus Road Stadium,18360,+€900k,,2014,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
1244,cd-leganes,CD Leganés,ES1,,23,28.6,8,34.8,3,Butarque,12454,+€1.00m,,2019,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
14171,thonon-evian-grand-geneve-fc,Thonon Évian Grand Genève FC,FR1,,27,27.4,6,22.2,1,Stade Camille Fournier,2500,+-0,,2014,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
244,olympique-marseille,Olympique Marseille,FR1,,25,25.9,20,80.0,16,Orange Vélodrome,67394,€-30.60m,,2023,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
367,rayo-vallecano,Rayo Vallecano,ES1,,24,29.2,11,45.8,6,Campo de Fútbol de Vallecas,15105,€-11.60m,,2023,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
379,west-ham-united,West Ham United,GB1,,25,28.3,18,72.0,14,London Stadium,62500,+€18.84m,,2023,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379
380,us-salernitana-1919,US Salernitana 1919,IT1,,27,27.0,21,77.8,11,Arechi,29739,€-24.69m,,2023,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
403,willem-ii-tilburg,Willem II Tilburg,NL1,,27,25.9,7,25.9,0,Koning Willem II Stadion,14700,+€385k,,2021,https://www.transfermarkt.co.uk/willem-ii-tilburg/startseite/verein/403
